2026-04-14 20:20:06.757 | INFO     | __main__:test_llm:8 - Sending prompt to LLM: What is the capital of France?
2026-04-17 22:09:12.456 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:68 - {'event': 'duckduckgo_news_search_started', 'query': 'Essential skills for data science professionals in the era of AI', 'max_results': 5}
2026-04-17 22:09:13.638 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:96 - {'event': 'duckduckgo_news_success', 'query': 'Essential skills for data science professionals in the era of AI', 'results_count': 4, 'duration_sec': 1.18}
2026-04-17 22:09:13.639 | INFO     | __main__:research_node:183 - {'event': 'search_query_completed', 'query': 'Essential skills for data science professionals in the era of AI', 'results_count': 4}
2026-04-17 22:09:13.639 | INFO     | __main__:research_node:176 - {'event': 'search_query_started', 'query': 'How generative AI is changing data science workflows'}
2026-04-17 22:09:13.639 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:68 - {'event': 'duckduckgo_news_search_started', 'query': 'How generative AI is changing data science workflows', 'max_results': 5}
2026-04-17 22:09:16.093 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:96 - {'event': 'duckduckgo_news_success', 'query': 'How generative AI is changing data science workflows', 'results_count': 4, 'duration_sec': 2.45}
2026-04-17 22:09:16.093 | INFO     | __main__:research_node:183 - {'event': 'search_query_completed', 'query': 'How generative AI is changing data science workflows', 'results_count': 4}
2026-04-17 22:09:16.094 | INFO     | __main__:research_node:176 - {'event': 'search_query_started', 'query': 'Emerging data science roles influenced by AI advancements'}
2026-04-17 22:09:16.094 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:68 - {'event': 'duckduckgo_news_search_started', 'query': 'Emerging data science roles influenced by AI advancements', 'max_results': 5}
2026-04-17 22:09:17.452 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:96 - {'event': 'duckduckgo_news_success', 'query': 'Emerging data science roles influenced by AI advancements', 'results_count': 4, 'duration_sec': 1.36}
2026-04-17 22:09:17.452 | INFO     | __main__:research_node:183 - {'event': 'search_query_completed', 'query': 'Emerging data science roles influenced by AI advancements', 'results_count': 4}
2026-04-17 22:09:17.453 | INFO     | __main__:research_node:176 - {'event': 'search_query_started', 'query': 'Challenges and opportunities for data scientists with AI integration'}
2026-04-17 22:09:17.453 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:68 - {'event': 'duckduckgo_news_search_started', 'query': 'Challenges and opportunities for data scientists with AI integration', 'max_results': 5}
2026-04-17 22:09:18.652 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:96 - {'event': 'duckduckgo_news_success', 'query': 'Challenges and opportunities for data scientists with AI integration', 'results_count': 4, 'duration_sec': 1.2}
2026-04-17 22:09:18.652 | INFO     | __main__:research_node:183 - {'event': 'search_query_completed', 'query': 'Challenges and opportunities for data scientists with AI integration', 'results_count': 4}
2026-04-17 22:09:18.653 | INFO     | __main__:research_node:176 - {'event': 'search_query_started', 'query': 'AI ethics and governance in data science jobs'}
2026-04-17 22:09:18.653 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:68 - {'event': 'duckduckgo_news_search_started', 'query': 'AI ethics and governance in data science jobs', 'max_results': 5}
2026-04-17 22:09:19.843 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:96 - {'event': 'duckduckgo_news_success', 'query': 'AI ethics and governance in data science jobs', 'results_count': 4, 'duration_sec': 1.19}
2026-04-17 22:09:19.844 | INFO     | __main__:research_node:183 - {'event': 'search_query_completed', 'query': 'AI ethics and governance in data science jobs', 'results_count': 4}
2026-04-17 22:09:19.844 | INFO     | __main__:research_node:198 - {'event': 'research_raw_collected', 'total_results': 28}
2026-04-17 22:09:19.847 | INFO     | __main__:research_node:206 - {'event': 'llm_extraction_started', 'input_size': 28}
2026-04-17 22:09:30.035 | SUCCESS  | __main__:research_node:220 - {'event': 'research_node_success', 'topic': 'AI in data science jobs', 'final_evidence_count': 5, 'duration_sec': 23.76}
2026-04-17 22:16:32.184 | INFO     | app.services.llm.llm_manager:<module>:7 - Environment variables loaded
2026-04-17 22:16:33.230 | SUCCESS  | app.services.llm.llm_manager:<module>:12 - LLM initialized successfully: gemini-2.5-flash
2026-04-17 22:16:33.401 | INFO     | __main__:router_node:93 - {'event': 'router_node_started', 'topic': 'AI in data science jobs'}
2026-04-17 22:16:39.171 | INFO     | __main__:router_node:107 - {'event': 'router_llm_response', 'decision': {'need_to_research': True, 'mode': 'hybrid', 'reason': 'The impact of AI on data science jobs is a rapidly evolving topic. New tools, techniques, and job roles are constantly emerging, requiring up-to-date information to provide relevant insights.', 'queries': ['impact of AI on data science job market', 'new skills for data scientists with AI', 'AI tools transforming data science roles', 'future of data science jobs with generative AI', 'how AI automates data science tasks', 'highest demand data science roles AI era', 'ethical implications of AI in data science jobs', 'data scientist career path AI integration', 'AI augmented data science workflows'], 'max_result_per_query': 5}}
2026-04-17 22:16:39.172 | SUCCESS  | __main__:router_node:122 - {'event': 'router_node_success', 'topic': 'AI in data science jobs', 'mode': 'hybrid', 'need_to_research': True, 'queries_count': 9, 'duration_sec': 5.77}
2026-04-17 22:16:39.173 | INFO     | __main__:research_node:166 - {'event': 'research_node_started', 'topic': 'AI in data science jobs', 'queries_count': 9}
2026-04-17 22:16:39.174 | INFO     | __main__:research_node:177 - {'event': 'search_query_started', 'query': 'impact of AI on data science job market'}
2026-04-17 22:16:39.174 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:68 - {'event': 'duckduckgo_news_search_started', 'query': 'impact of AI on data science job market', 'max_results': 5}
2026-04-17 22:16:41.013 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:96 - {'event': 'duckduckgo_news_success', 'query': 'impact of AI on data science job market', 'results_count': 4, 'duration_sec': 1.84}
2026-04-17 22:16:41.014 | INFO     | __main__:research_node:184 - {'event': 'search_query_completed', 'query': 'impact of AI on data science job market', 'results_count': 4}
2026-04-17 22:16:41.014 | INFO     | __main__:research_node:177 - {'event': 'search_query_started', 'query': 'new skills for data scientists with AI'}
2026-04-17 22:16:41.014 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:68 - {'event': 'duckduckgo_news_search_started', 'query': 'new skills for data scientists with AI', 'max_results': 5}
2026-04-17 22:16:43.524 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:96 - {'event': 'duckduckgo_news_success', 'query': 'new skills for data scientists with AI', 'results_count': 4, 'duration_sec': 2.51}
2026-04-17 22:16:43.525 | INFO     | __main__:research_node:184 - {'event': 'search_query_completed', 'query': 'new skills for data scientists with AI', 'results_count': 4}
2026-04-17 22:16:43.525 | INFO     | __main__:research_node:177 - {'event': 'search_query_started', 'query': 'AI tools transforming data science roles'}
2026-04-17 22:16:43.525 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:68 - {'event': 'duckduckgo_news_search_started', 'query': 'AI tools transforming data science roles', 'max_results': 5}
2026-04-17 22:16:47.575 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:96 - {'event': 'duckduckgo_news_success', 'query': 'AI tools transforming data science roles', 'results_count': 4, 'duration_sec': 4.05}
2026-04-17 22:16:47.576 | INFO     | __main__:research_node:184 - {'event': 'search_query_completed', 'query': 'AI tools transforming data science roles', 'results_count': 4}
2026-04-17 22:16:47.576 | INFO     | __main__:research_node:177 - {'event': 'search_query_started', 'query': 'future of data science jobs with generative AI'}
2026-04-17 22:16:47.576 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:68 - {'event': 'duckduckgo_news_search_started', 'query': 'future of data science jobs with generative AI', 'max_results': 5}
2026-04-17 22:16:49.422 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:96 - {'event': 'duckduckgo_news_success', 'query': 'future of data science jobs with generative AI', 'results_count': 4, 'duration_sec': 1.85}
2026-04-17 22:16:49.422 | INFO     | __main__:research_node:184 - {'event': 'search_query_completed', 'query': 'future of data science jobs with generative AI', 'results_count': 4}
2026-04-17 22:16:49.423 | INFO     | __main__:research_node:177 - {'event': 'search_query_started', 'query': 'how AI automates data science tasks'}
2026-04-17 22:16:49.423 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:68 - {'event': 'duckduckgo_news_search_started', 'query': 'how AI automates data science tasks', 'max_results': 5}
2026-04-17 22:16:50.955 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:96 - {'event': 'duckduckgo_news_success', 'query': 'how AI automates data science tasks', 'results_count': 4, 'duration_sec': 1.53}
2026-04-17 22:16:50.955 | INFO     | __main__:research_node:184 - {'event': 'search_query_completed', 'query': 'how AI automates data science tasks', 'results_count': 4}
2026-04-17 22:16:50.955 | INFO     | __main__:research_node:177 - {'event': 'search_query_started', 'query': 'highest demand data science roles AI era'}
2026-04-17 22:16:50.955 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:68 - {'event': 'duckduckgo_news_search_started', 'query': 'highest demand data science roles AI era', 'max_results': 5}
2026-04-17 22:16:53.418 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:96 - {'event': 'duckduckgo_news_success', 'query': 'highest demand data science roles AI era', 'results_count': 4, 'duration_sec': 2.46}
2026-04-17 22:16:53.419 | INFO     | __main__:research_node:184 - {'event': 'search_query_completed', 'query': 'highest demand data science roles AI era', 'results_count': 4}
2026-04-17 22:16:53.419 | INFO     | __main__:research_node:177 - {'event': 'search_query_started', 'query': 'ethical implications of AI in data science jobs'}
2026-04-17 22:16:53.419 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:68 - {'event': 'duckduckgo_news_search_started', 'query': 'ethical implications of AI in data science jobs', 'max_results': 5}
2026-04-17 22:16:55.155 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:96 - {'event': 'duckduckgo_news_success', 'query': 'ethical implications of AI in data science jobs', 'results_count': 4, 'duration_sec': 1.74}
2026-04-17 22:16:55.156 | INFO     | __main__:research_node:184 - {'event': 'search_query_completed', 'query': 'ethical implications of AI in data science jobs', 'results_count': 4}
2026-04-17 22:16:55.156 | INFO     | __main__:research_node:177 - {'event': 'search_query_started', 'query': 'data scientist career path AI integration'}
2026-04-17 22:16:55.156 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:68 - {'event': 'duckduckgo_news_search_started', 'query': 'data scientist career path AI integration', 'max_results': 5}
2026-04-17 22:16:58.319 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:96 - {'event': 'duckduckgo_news_success', 'query': 'data scientist career path AI integration', 'results_count': 4, 'duration_sec': 3.16}
2026-04-17 22:16:58.319 | INFO     | __main__:research_node:184 - {'event': 'search_query_completed', 'query': 'data scientist career path AI integration', 'results_count': 4}
2026-04-17 22:16:58.319 | INFO     | __main__:research_node:177 - {'event': 'search_query_started', 'query': 'AI augmented data science workflows'}
2026-04-17 22:16:58.320 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:68 - {'event': 'duckduckgo_news_search_started', 'query': 'AI augmented data science workflows', 'max_results': 5}
2026-04-17 22:17:00.084 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:96 - {'event': 'duckduckgo_news_success', 'query': 'AI augmented data science workflows', 'results_count': 4, 'duration_sec': 1.76}
2026-04-17 22:17:00.084 | INFO     | __main__:research_node:184 - {'event': 'search_query_completed', 'query': 'AI augmented data science workflows', 'results_count': 4}
